,insegna,LONG_WGS84,LAT_WGS84,geopoint
0,PERSEFONE,9.17573102533,45.4966580754,"{'type': 'Point', 'coordinates': ['9.17573102533', '45.4966580754']}"
1,MAF CAFFE',9.18734461471,45.4815798192,"{'type': 'Point', 'coordinates': ['9.18734461471', '45.4815798192']}"
2,NEW ART CAFE',9.18744603431,45.4723787241,"{'type': 'Point', 'coordinates': ['9.18744603431', '45.4723787241']}"
3,BANA,9.2478678237,45.4527750264,"{'type': 'Point', 'coordinates': ['9.2478678237', '45.4527750264']}"
4,NOY CONCEPT RESTAURANT CAFE',9.16219092448,45.4652654996,"{'type': 'Point', 'coordinates': ['9.16219092448', '45.4652654996']}"
5,BICOCKTAIL,9.21179510718,45.5159304182,"{'type': 'Point', 'coordinates': ['9.21179510718', '45.5159304182']}"
6,TNT,9.22001992121,45.4505482182,"{'type': 'Point', 'coordinates': ['9.22001992121', '45.4505482182']}"
7,TEATRO LIBERO,9.16858093931,45.4556055809,"{'type': 'Point', 'coordinates': ['9.16858093931', '45.4556055809']}"
8,OFFICINA 12,9.17536647222,45.4520873461,"{'type': 'Point', 'coordinates': ['9.17536647222', '45.4520873461']}"
9,MOGAMO,9.20894035306,45.4850668958,"{'type': 'Point', 'coordinates': ['9.20894035306', '45.4850668958']}"
10,PIZZERIA DI PORTA GARIBALDI,9.18734461471,45.4815798192,"{'type': 'Point', 'coordinates': ['9.18734461471', '45.4815798192']}"
11,il tunnel,9.17267330575,45.4770329664,"{'type': 'Point', 'coordinates': ['9.17267330575', '45.4770329664']}"
12,JUST CAVALLI,null,null,
13,ARIZONA 2000,9.21547848025,45.4886421618,"{'type': 'Point', 'coordinates': ['9.21547848025', '45.4886421618']}"
14,la tour,9.20276496026,45.4877682375,"{'type': 'Point', 'coordinates': ['9.20276496026', '45.4877682375']}"
15,tucano,9.20207300437,45.4333355377,"{'type': 'Point', 'coordinates': ['9.20207300437', '45.4333355377']}"
16,osteria del treno,9.20116927773345,45.4812779585981,"{'type': 'Point', 'coordinates': ['9.20116927773345', '45.4812779585981']}"
17,la cueva latino cafe,9.21464063465,45.4524105066,"{'type': 'Point', 'coordinates': ['9.21464063465', '45.4524105066']}"
18,HD,9.2365254337,45.4724617536,"{'type': 'Point', 'coordinates': ['9.2365254337', '45.4724617536']}"
19,henry s cafe,9.18207604149,45.4520700811,"{'type': 'Point', 'coordinates': ['9.18207604149', '45.4520700811']}"
20,BLUE NOTE,9.18886515975,45.4893594522,"{'type': 'Point', 'coordinates': ['9.18886515975', '45.4893594522']}"
21,ristorante pub do re mi,9.21860333051,45.4351344329,"{'type': 'Point', 'coordinates': ['9.21860333051', '45.4351344329']}"
22,sports bar,9.18810521558,45.4724444662,"{'type': 'Point', 'coordinates': ['9.18810521558', '45.4724444662']}"
23,le trottoir a la darsena,9.18046001801,45.4527465348,"{'type': 'Point', 'coordinates': ['9.18046001801', '45.4527465348']}"
24,PICAFLOR,9.23595591567,45.4832614484,"{'type': 'Point', 'coordinates': ['9.23595591567', '45.4832614484']}"
25,la tana del lupo,9.19893236349,45.4777006109,"{'type': 'Point', 'coordinates': ['9.19893236349', '45.4777006109']}"
26,siddharta,9.17936036183,45.4775057074,"{'type': 'Point', 'coordinates': ['9.17936036183', '45.4775057074']}"
27,EL PASO DE LOS TOROS,9.20505857636,45.476696897,"{'type': 'Point', 'coordinates': ['9.20505857636', '45.476696897']}"
28,JUICEBAR,9.18170170392,45.4953804992,"{'type': 'Point', 'coordinates': ['9.18170170392', '45.4953804992']}"
29,chiar di luna,9.18877465607,45.4868405349,"{'type': 'Point', 'coordinates': ['9.18877465607', '45.4868405349']}"
30,alchimia,9.18073240587,45.4460353436,"{'type': 'Point', 'coordinates': ['9.18073240587', '45.4460353436']}"
31,TROPPAPIZZA,9.14828708868,45.4912998051,"{'type': 'Point', 'coordinates': ['9.14828708868', '45.4912998051']}"
32,arca di noe,9.12900870851,45.4431855441,"{'type': 'Point', 'coordinates': ['9.12900870851', '45.4431855441']}"
33,VISIONNAIRE,9.19488724954,45.4729435958,"{'type': 'Point', 'coordinates': ['9.19488724954', '45.4729435958']}"
34,la buca di san vincenzo,9.17461564907,45.4584831924,"{'type': 'Point', 'coordinates': ['9.17461564907', '45.4584831924']}"
35,noon,9.1741900934,45.4678823872,"{'type': 'Point', 'coordinates': ['9.1741900934', '45.4678823872']}"
36,bar biffi,9.18124087540074,45.4833259370125,"{'type': 'Point', 'coordinates': ['9.18124087540074', '45.4833259370125']}"
37,FOOD & FASHION,9.21457538755,45.4849749837,"{'type': 'Point', 'coordinates': ['9.21457538755', '45.4849749837']}"
38,first floor,9.12858990756,45.4807824511,"{'type': 'Point', 'coordinates': ['9.12858990756', '45.4807824511']}"
39,viga milano music bar,9.18977503362,45.4821688301,"{'type': 'Point', 'coordinates': ['9.18977503362', '45.4821688301']}"
40,alter ego cafe,9.17034023978,45.518692084,"{'type': 'Point', 'coordinates': ['9.17034023978', '45.518692084']}"
41,cream,9.17071072758,45.4764538572,"{'type': 'Point', 'coordinates': ['9.17071072758', '45.4764538572']}"
42,grand canyon pub,9.12396442114,45.5028753866,"{'type': 'Point', 'coordinates': ['9.12396442114', '45.5028753866']}"
43,IL NAVIGANTE,9.1766290918,45.4509821535,"{'type': 'Point', 'coordinates': ['9.1766290918', '45.4509821535']}"
44,patchouli,9.21313093548,45.4459009449,"{'type': 'Point', 'coordinates': ['9.21313093548', '45.4459009449']}"
45,LEGEND 54,9.17903190557,45.5163420921,"{'type': 'Point', 'coordinates': ['9.17903190557', '45.5163420921']}"
46,after line,9.20541042327,45.4893282546,"{'type': 'Point', 'coordinates': ['9.20541042327', '45.4893282546']}"
47,cefe trussardi,9.18885742797,45.4669705031,"{'type': 'Point', 'coordinates': ['9.18885742797', '45.4669705031']}"
48,il portico,9.24580537269,45.5159120968,"{'type': 'Point', 'coordinates': ['9.24580537269', '45.5159120968']}"
49,cibo E vino,9.20499216626,45.4469898062,"{'type': 'Point', 'coordinates': ['9.20499216626', '45.4469898062']}"
50,elephant bar,9.20928307436,45.4739808355,"{'type': 'Point', 'coordinates': ['9.20928307436', '45.4739808355']}"
51,san vittore,9.16607290984,45.4601224174,"{'type': 'Point', 'coordinates': ['9.16607290984', '45.4601224174']}"
52,la brioschina fiore del naviglio,9.1754418106,45.4366631645,"{'type': 'Point', 'coordinates': ['9.1754418106', '45.4366631645']}"
53,circle,9.15933601889,45.4536354238,"{'type': 'Point', 'coordinates': ['9.15933601889', '45.4536354238']}"
54,boh!?cafe,9.15790898349,45.4552632937,"{'type': 'Point', 'coordinates': ['9.15790898349', '45.4552632937']}"
55,bar palabadminton,9.13851577684,45.4887469695,"{'type': 'Point', 'coordinates': ['9.13851577684', '45.4887469695']}"
56,bar straf,9.19127047245,45.4651848591,"{'type': 'Point', 'coordinates': ['9.19127047245', '45.4651848591']}"
57,virgin cafe,9.18722592336,45.4826225026,"{'type': 'Point', 'coordinates': ['9.18722592336', '45.4826225026']}"
58,BEYNAC,9.17579801705,45.451791777,"{'type': 'Point', 'coordinates': ['9.17579801705', '45.451791777']}"
59,BAIA LUNA,9.22278287823,45.4683633025,"{'type': 'Point', 'coordinates': ['9.22278287823', '45.4683633025']}"
60,straripa bar art E friends,9.17555560907,45.4517430779,"{'type': 'Point', 'coordinates': ['9.17555560907', '45.4517430779']}"
61,SALSAMENTERIA DI PARMA,9.18495785199,45.4697310273,"{'type': 'Point', 'coordinates': ['9.18495785199', '45.4697310273']}"
62,FARINAMI,9.18537454973,45.48108569,"{'type': 'Point', 'coordinates': ['9.18537454973', '45.48108569']}"
63,budineria,9.17299110462,45.4316711815,"{'type': 'Point', 'coordinates': ['9.17299110462', '45.4316711815']}"
64,RISTORANTE SAKURA SUSHI & WOK,9.18815849421,45.4810021557,"{'type': 'Point', 'coordinates': ['9.18815849421', '45.4810021557']}"
65,BEDA HOUSE,9.19210443887,45.4966064434,"{'type': 'Point', 'coordinates': ['9.19210443887', '45.4966064434']}"
66,3 jolie,9.16721151713,45.4851674089,"{'type': 'Point', 'coordinates': ['9.16721151713', '45.4851674089']}"
67,birreria 212,9.22459278137,45.5115939838,"{'type': 'Point', 'coordinates': ['9.22459278137', '45.5115939838']}"
68,mas,9.17645460483,45.4519392396,"{'type': 'Point', 'coordinates': ['9.17645460483', '45.4519392396']}"
69,la bodeguita del medio,9.18266083489,45.4522245219,"{'type': 'Point', 'coordinates': ['9.18266083489', '45.4522245219']}"
70,fermento art E pub,9.17078092983,45.5003637642,"{'type': 'Point', 'coordinates': ['9.17078092983', '45.5003637642']}"
71,angolo degli amici,9.24238184168,45.4442985332,"{'type': 'Point', 'coordinates': ['9.24238184168', '45.4442985332']}"
72,tickles,9.18496812127,45.4825310287,"{'type': 'Point', 'coordinates': ['9.18496812127', '45.4825310287']}"
73,red sea due,9.13789422798,45.473157824,"{'type': 'Point', 'coordinates': ['9.13789422798', '45.473157824']}"
74,ligera,9.23245270272,45.4981748017,"{'type': 'Point', 'coordinates': ['9.23245270272', '45.4981748017']}"
75,lili la tigresse,9.20955290989,45.4787085549,"{'type': 'Point', 'coordinates': ['9.20955290989', '45.4787085549']}"
76,MILANO IN,9.17570037475,45.4225415882,"{'type': 'Point', 'coordinates': ['9.17570037475', '45.4225415882']}"
